protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA4175,9,0.8963213640379633,0.8963213640379633,-0.644969209906926,0.644969209906926,1.0670110664416263e-10,True,1.22992001929512e-09,Other
RPA4176,15,0.6399960703532677,0.6399960703532677,0.19216528084120113,0.19216528084120113,0.08769526827835226,False,0.1279262475985076,Other
RPA4177,15,0.599018544656203,0.599018544656203,-0.11921046339599506,0.11921046339599506,0.2922351861713124,False,0.36470479887105317,Other
RPA4178,1,-0.5373154318879038,0.5373154318879038,0.2540571122651411,0.2540571122651411,0.022963451164888703,True,0.0395398409529281,Other
RPA4179,2,-0.9268664450661467,0.9268664450661467,0.7808258425255374,0.7808258425255374,1.3290992568941971e-17,True,1.639363114742194e-15,Other
RPA4180,22,-0.8418964957780737,0.8418964957780737,-0.3276891287339034,0.3276891287339034,0.0030052226353523962,False,0.006451674489999306,Other
RPA4182,7,-0.8159498905323297,0.8159498905323297,-0.48806582865801657,0.48806582865801657,4.382364068728766e-06,True,1.8453628289408887e-05,Other
RPA4187,7,-0.7432411692077776,0.7432411692077776,-0.6697036908428692,0.6697036908428692,1.1024465302063734e-11,True,1.6919365343745746e-10,Other
RPA4188,11,0.5502095744871645,0.5502095744871645,-0.2900073208606807,0.2900073208606807,0.009069702902739033,False,0.017327611409862536,Other
RPA4190,1,-0.8481499692635898,0.8481499692635898,0.7632926483987296,0.7632926483987296,1.857425557700633e-16,True,1.2774960224629909e-14,Other
RPA4191,15,0.7585291572082511,0.7585291572082511,0.14193966749680043,0.14193966749680043,0.20913914759086488,False,0.2717784444200393,Other
RPA4192,5,0.8099741001470868,0.8099741001470868,-0.04036574683499913,0.04036574683499913,0.7222113803901161,False,0.7650579197857648,Other
RPA4193,6,-0.7793512150773607,0.7793512150773607,0.04852747055364658,0.04852747055364658,0.6690416247799531,False,0.7231724663657584,Other
RPA4194,8,0.8174270963833543,0.8174270963833543,0.16916632782299845,0.16916632782299845,0.13359096503417464,False,0.1833543400358184,Other
RPA4196,4,0.3537226583846312,0.3537226583846312,-0.14563369758170158,0.14563369758170158,0.1974081979729058,False,0.25888914098565396,Tier 1 only
RPA4198,8,0.6749539196936316,0.6749539196936316,-0.017221426498219214,0.017221426498219214,0.8794865921977288,False,0.9008309992891244,Other
RPA4200,8,0.6949335191673791,0.6949335191673791,0.2543899203324358,0.2543899203324358,0.022778878379728022,False,0.03931261817021835,Other
RPA4206,2,-0.7332654185667521,0.7332654185667521,0.5096647260667166,0.5096647260667166,1.3755414045904134e-06,True,6.499695644591342e-06,Tier 1 only
RPA4208,2,-0.5835774685953679,0.5835774685953679,0.39176590967643093,0.39176590967643093,0.00032602283284876053,True,0.0009036185083584302,Other
RPA4212,4,0.744716578204006,0.744716578204006,0.37592910309632266,0.37592910309632266,0.0005893640107629097,False,0.0015414774196996102,Other
RPA4213,6,-0.9064581714508676,0.9064581714508676,0.19349229205682322,0.19349229205682322,0.08548656079036349,False,0.1252566558177582,Other
RPA4214,1,-0.7930652016704427,0.7930652016704427,0.5095638269968576,0.5095638269968576,1.3832651498217681e-06,True,6.519602495479755e-06,Other
RPA4216,1,-0.7554370280853646,0.7554370280853646,0.37077452308074677,0.37077452308074677,0.0007101085519130079,True,0.0018088773400582383,Other
RPA4217,21,0.823891996750217,0.823891996750217,-0.44854408536216694,0.44854408536216694,3.0097875241298846e-05,False,0.00010525754109810163,Other
RPA4223,12,0.739176303290111,0.739176303290111,-0.4081447402005497,0.4081447402005497,0.0001711702272959508,False,0.0005045446223628264,Other
RPA4225,2,-0.7043726822341304,0.7043726822341304,0.32725840409814777,0.32725840409814777,0.0030458420935693515,True,0.00651342095070402,Other
RPA4227,2,-0.7976419929874743,0.7976419929874743,0.5488570077308652,0.5488570077308652,1.3549715452482086e-07,True,7.937483153078622e-07,Other
